encoder,opn,pre_type,use_llm_prior,use_cl,gpu,datetime,cl_weight,train_len,test_len,temperature,tau_hard,lr,n_hidden,filter_MRR,filter_H@1,filter_H@3,filter_H@10,filter_inv_MRR,filter_inv_H@1,filter_inv_H@3,filter_inv_H@10,all_MRR,all_H@1,all_H@3,all_H@10,filter_all_MRR,filter_all_H@1,filter_all_H@3,filter_all_H@10
uvrgcn,sub,all,True,True,0,2026-05-14 08:20:37.331708,0.5,7,7,0.07,0.1,0.001,200,0.0009632858564145863,1.9912386051146314e-05,1.9912386051146314e-05,9.956193389371037e-05,0.0014481826219707727,0.00017921147809829563,0.0003385105519555509,0.0014934289501979947,0.0011771729914471507,9.956193207472097e-05,0.00015929909386613872,0.0007168458832893521,0.001205734210088849,9.956193207472097e-05,0.0001792114690033486,0.0007964954420458525
uvrgcn,sub,all,True,True,0,2026-05-14 16:24:16.724257,0.5,7,7,0.07,0.1,0.001,200,0.00806163065135479,0.0010951812146231532,0.005834328942000866,0.016467543318867683,0.008134771138429642,0.0018916765693575144,0.00489844661206007,0.013002787716686726,0.007677871268242598,0.0013938670163042843,0.005167264258489013,0.013739545829594135,0.008098200894892216,0.0014934288919903338,0.005366387777030468,0.014735165517777205
uvrgcn,sub,all,True,True,0,2026-05-14 18:24:58.300491,0.5,7,7,0.07,0.1,0.001,200,0.10364160686731339,0.05748705565929413,0.10364396870136261,0.19410593807697296,0.01606612093746662,0.00420151324942708,0.012385503388941288,0.033432893455028534,0.05233437567949295,0.02458184026181698,0.05122461309656501,0.10182198323309422,0.05985386297106743,0.030844284454360604,0.05801473604515195,0.11376941576600075
